,,,
Fixed mmHg,Peeks,Peak cuff,Peak Ampl
34.843,,,2.635
34.822,,,
34.843,,,
34.884,,,
34.884,,,
34.925,,,
34.966,,,
34.946,,,
35.028,,,
34.987,,,
34.987,,,
34.987,,,
35.028,,,
35.007,,,
35.049,,,
35.131,,,
35.09,,,
35.131,,,
35.11,,,
35.131,,,
35.172,,,
35.193,,,
35.213,,,
35.172,,,
35.213,,,
35.193,,,
35.234,,,
35.213,,,
35.275,,,
35.296,,,
35.316,,,
35.337,,,
35.357,,,
35.337,,,
35.378,,,
35.398,,,
35.419,,,
35.44,,,
35.398,,,
35.419,,,
35.46,,,
35.481,,,
35.501,,,
35.481,,,
35.501,,,
35.584,,,
35.543,,,
35.584,,,
35.604,,,
35.625,,,
35.625,,,
35.625,,,
35.604,,,
35.687,,,
35.687,,,
35.666,,,
35.728,,,
35.707,,,
35.748,,,
35.769,,,
35.748,,,
35.81,,,
35.831,,,
35.851,,,
35.831,,,
35.872,,,
35.851,,,
35.892,,,
35.934,,,
35.913,,,
35.975,,,
35.954,,,
35.995,,,
35.995,,,
36.016,,,
36.016,,,
36.016,,,
36.078,,,
36.098,,,
36.078,,,
36.078,,,
36.078,,,
36.119,,,
36.119,,,
36.16,,,
36.139,,,
36.201,,,
36.201,,,
36.16,,,
36.222,,,
36.263,,,
36.242,,,
36.325,,,
36.284,,,
36.304,,,
36.325,,,
36.366,,,
36.387,,,
36.345,,,
36.325,,,
36.448,36.414,36.36361946,
36.469,,,
36.448,,,
36.469,,,
36.469,,,
36.469,,,
36.448,,,
36.448,,,
36.469,,,
36.489,,,
36.448,,,
36.489,,,
36.489,,,
36.51,,,
36.572,,,
36.531,,,
36.51,,,
36.489,,,
36.551,,,
36.489,,,
36.469,,,
36.448,,,
36.448,,,
36.448,,,
36.387,,,
36.366,,,
36.325,,,
36.242,,,
36.222,,,
36.242,,,
36.222,,,
36.201,,,
36.201,,,
36.242,,,
36.222,,,
36.242,,,
36.242,,,
36.242,,,
36.242,,,
36.284,,,
36.366,,,
36.325,,,
36.325,,,
36.387,,,
36.428,,,
36.407,,,
36.407,,,
36.448,,,
36.428,,,
36.469,,,
36.489,,,
36.572,,,
36.572,,,
36.572,,,
36.654,,,
36.592,,,
36.654,,,
36.654,,,
36.716,,,
36.716,,,
36.675,,,
36.736,,,
36.695,,,
36.757,,,
36.736,,,
36.798,,,
36.778,,,
36.798,,,
36.819,,,
36.798,,,
36.819,,,
36.86,,,
36.881,,,
36.901,,,
36.901,,,
36.942,,,
36.984,,,
36.963,,,
37.004,,,
37.004,,,
37.004,,,
37.025,,,
37.025,,,
37.045,,,
37.066,,,
37.128,,,
37.128,,,
37.148,,,
37.189,,,
37.107,,,
37.21,,,
37.21,,,
37.21,,,
37.21,,,
37.231,,,
37.272,,,
37.292,,,
37.334,,,
37.292,,,
37.292,,,
37.354,,,
37.354,,,
37.354,,,
37.354,,,
37.354,,,
37.416,,,
37.416,,,
37.437,37.42755556,37.42700457,
37.437,,,
37.437,37.45955556,37.45331746,
37.478,,,
37.519,,,
37.498,,,
37.498,,,
37.498,,,
37.478,,,
37.478,,,
37.539,,,
37.56,,,
37.539,,,
37.56,,,
37.601,,,
37.601,,,
37.642,,,
37.642,,,
37.642,,,
37.684,,,
37.725,,,
37.684,,,
37.684,,,
37.725,,,
37.766,,,
37.828,,,
37.807,,,
37.807,,,
37.848,,,
37.848,,,
37.91,37.87111111,37.61957088,
37.889,,,
37.869,,,
37.931,,,
37.931,,,
37.889,,,
37.972,,,
37.931,,,
37.889,,,
37.931,,,
37.972,,,
37.951,,,
37.972,,,
38.034,,,
38.034,,,
38.013,,,
38.054,,,
38.013,,,
38.013,,,
38.013,,,
38.075,,,
37.972,,,
37.972,,,
37.931,,,
37.91,,,
37.931,,,
37.848,,,
37.848,,,
37.786,,,
37.766,,,
37.786,,,
37.766,,,
37.725,,,
37.766,,,
37.766,,,
37.807,,,
37.807,,,
37.807,,,
37.828,,,
37.828,,,
37.828,,,
37.889,,,
37.931,,,
37.91,,,
37.869,,,
37.951,,,
37.972,,,
37.951,,,
38.034,,,
