,,,
Fixed mmhg,Peaks,Peak cuff ,Peak Ampl
61.516,,,2.031
61.537,,,
61.537,,,
61.557,,,
61.557,,,
61.599,,,
61.578,,,
61.578,61.59844444,61.7582423,
61.619,,,
61.619,,,
61.66,,,
61.619,,,
61.619,,,
61.66,,,
61.66,,,
61.702,,,
61.681,,,
61.66,,,
61.722,,,
61.743,,,
61.743,,,
61.743,,,
61.763,,,
61.763,,,
61.825,,,
61.825,,,
61.867,,,
61.867,,,
61.867,,,
61.887,,,
61.949,,,
61.908,,,
61.928,61.94444444,61.51955179,
61.99,,,
61.949,,,
61.97,,,
62.052,,,
62.052,,,
62.011,,,
62.011,,,
62.011,,,
62.031,,,
62.011,,,
61.99,,,
61.99,,,
61.99,,,
61.949,,,
61.887,,,
61.908,,,
61.887,,,
61.846,,,
61.825,,,
61.805,,,
61.825,,,
61.743,,,
61.702,,,
61.702,,,
61.681,,,
61.66,,,
61.599,,,
61.557,,,
61.537,,,
61.475,,,
61.413,,,
61.331,,,
61.331,,,
61.228,,,
61.166,,,
61.145,,,
61.063,,,
61.042,,,
61.063,,,
61.001,,,
61.001,,,
61.063,,,
61.022,,,
61.104,,,
61.104,,,
61.104,,,
61.145,,,
61.166,,,
61.207,,,
61.228,,,
61.269,,,
61.289,,,
61.248,,,
61.331,,,
61.331,,,
61.331,,,
61.372,,,
61.372,,,
61.372,,,
61.413,,,
61.413,,,
61.454,,,
61.475,,,
61.496,,,
61.475,,,
61.496,,,
61.537,,,
61.516,,,
61.578,,,
61.578,,,
61.578,,,
61.619,,,
61.619,,,
61.619,,,
61.64,,,
61.702,,,
61.702,,,
61.702,,,
61.702,,,
61.743,,,
61.722,,,
61.763,,,
61.784,,,
61.784,,,
61.784,,,
61.846,,,
61.846,,,
61.867,,,
61.928,,,
61.949,,,
61.928,,,
61.928,,,
61.99,,,
61.99,,,
62.031,,,
62.031,,,
62.031,,,
62.073,,,
62.093,,,
62.114,,,
62.073,,,
62.093,,,
62.155,,,
62.176,,,
62.155,,,
62.155,,,
62.196,,,
62.238,,,
62.258,,,
62.238,,,
62.217,,,
62.238,,,
62.299,,,
62.299,,,
62.32,,,
62.341,,,
62.361,,,
62.402,,,
62.361,,,
62.402,62.4,62.31637544,
62.444,,,
62.464,,,
62.423,,,
62.402,,,
62.464,,,
62.505,,,
62.505,,,
62.526,,,
62.505,,,
62.526,,,
62.526,,,
62.567,,,
62.567,,,
62.567,,,
62.608,,,
62.588,,,
62.588,,,
62.608,,,
62.567,,,
62.608,,,
62.691,,,
62.65,,,
62.67,,,
62.691,,,
62.732,,,
62.712,,,
62.773,,,
62.773,,,
62.815,,,
62.835,,,
62.856,62.85577778,62.44836111,
62.897,,,
62.897,,,
62.938,,,
62.918,,,
62.897,,,
