,,,
Fixed mmHg,Peaks,Peak cuff,Peak Ampl
58.364,,,2.064
58.548,,,
58.752,,,
58.875,,,
59.121,,,
59.243,,,
59.448,,,
59.673,,,
59.857,,,
60.041,,,
60.225,,,
60.389,,,
60.593,,,
60.757,,,
60.941,,,
61.146,,,
61.35,,,
61.473,,,
61.657,,,
61.739,,,
61.862,,,
62.087,61.95044444,62.64624339,
62.169,,,
62.189,,,
62.189,,,
62.189,,,
62.148,,,
62.23,,,
62.23,,,
62.23,,,
62.107,,,
62.026,,,
62.148,,,
62.353,,,
62.476,,,
62.68,,,
62.885,,,
63.008,,,
63.253,,,
63.376,,,
63.54,,,
63.744,,,
63.928,,,
64.072,,,
64.297,,,
64.44,,,
64.645,,,
64.87,,,
65.033,,,
65.176,,,
65.422,,,
65.545,,,
65.79,,,
65.913,,,
66.118,,,
66.322,,,
66.507,,,
66.691,,,
66.793,,,
66.916,,,
67.1,66.99088889,65.85568611,
67.223,,,
67.243,,,
67.243,,,
67.202,,,
67.182,,,
67.161,,,
67.223,,,
67.223,,,
67.182,,,
66.977,,,
66.936,,,
67.059,,,
67.284,,,
67.468,,,
67.571,,,
67.775,,,
67.96,,,
68.185,,,
68.328,,,
68.492,,,
68.635,,,
68.84,,,
69.024,,,
69.228,,,
69.392,,,
69.576,,,
69.74,,,
70.006,,,
70.17,,,
70.334,,,
70.497,,,
70.722,,,
70.886,,,
71.07,,,
71.234,,,
71.316,,,
71.48,71.42044444,70.20100585,
71.623,,,
71.684,,,
71.766,,,
71.725,,,
71.684,,,
71.644,,,
71.644,,,
71.684,,,
71.725,,,
71.562,,,
71.234,,,
71.275,,,
71.439,,,
71.603,,,
71.766,,,
71.93,,,
72.155,,,
72.319,,,
72.462,,,
72.606,,,
72.81,,,
72.954,,,
73.179,,,
73.322,,,
73.527,,,
73.67,,,
73.854,,,
74.038,,,
74.182,,,
74.407,,,
74.591,,,
74.714,,,
74.919,,,
75.123,,,
75.226,,,
75.308,,,
75.451,75.40333333,74.23690991,
75.615,,,
75.656,,,
75.676,,,
75.656,,,
75.656,,,
75.656,,,
75.656,,,
75.697,,,
75.451,,,
75.123,,,
75.082,,,
75.287,,,
75.492,,,
75.615,,,
75.84,,,
76.024,,,
76.188,,,
76.331,,,
76.515,,,
76.679,,,
76.843,,,
77.027,,,
77.191,,,
77.293,,,
77.519,,,
77.744,,,
77.826,,,
78.031,,,
78.153,,,
78.379,,,
78.481,,,
78.645,,,
78.768,78.70844444,77.11131481,
78.829,,,
78.931,,,
79.095,,,
79.095,,,
79.054,,,
78.993,,,
78.952,,,
78.931,,,
78.952,,,
78.829,,,
78.317,,,
77.949,,,
77.867,,,
77.949,,,
78.112,,,
78.235,,,
78.44,,,
78.624,,,
78.788,,,
78.89,,,
79.116,,,
79.239,,,
79.464,,,
79.607,,,
79.791,,,
79.976,,,
80.139,,,
80.303,,,
80.528,,,
80.672,,,
80.897,,,
81.02,,,
81.245,,,
81.327,,,
81.43,,,
81.573,81.52055556,79.6775976,
81.634,,,
81.737,,,
81.819,,,
81.9,,,
81.921,,,
81.88,,,
81.86,,,
81.778,,,
81.757,,,
81.716,,,
81.368,,,
80.733,,,
80.303,,,
80.303,,,
80.447,,,
80.651,,,
80.815,,,
81.02,,,
81.204,,,
81.388,,,
81.552,,,
81.778,,,
81.941,,,
82.126,,,
82.331,,,
82.515,,,
82.74,,,
82.863,,,
83.047,,,
83.191,,,
83.313,,,
83.436,,,
83.6,,,
83.723,,,
83.907,,,
83.989,,,
84.071,84.05966667,82.03086325,
84.194,,,
84.276,,,
84.337,,,
84.44,,,
84.501,,,
84.501,,,
84.501,,,
84.419,,,
84.378,,,
84.378,,,
84.194,,,
83.641,,,
83.027,,,
82.658,,,
82.658,,,
82.781,,,
82.986,,,
83.109,,,
83.273,,,
83.375,,,
83.539,,,
83.682,,,
83.846,,,
84.071,,,
84.215,,,
84.419,,,
84.542,,,
84.747,,,
84.911,,,
85.054,,,
85.3,,,
85.402,,,
85.546,,,
85.751,,,
85.914,,,
86.119,,,
86.181,,,
86.304,86.25588889,84.20755856,
86.345,,,
86.447,,,
86.59,,,
86.652,,,
86.734,,,
86.693,,,
86.631,,,
86.57,,,
86.59,,,
86.427,,,
86.099,,,
85.484,,,
84.911,,,
84.727,,,
84.808,,,
84.89,,,
85.034,,,
85.218,,,
85.361,,,
85.566,,,
